"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (mV)","IOKI 2_AV (mV)","IOKI 2_MN (mV)","IOKI 2_MX (mV)","IOKI 2_SD (mV)","IOKI 2_NUM (mV)","IOKI 2_INT (mV)","IOKI 2_IMN (mV)","IOKI 2_IMX (mV)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 09:10:00.227,n,31.060286,35.225472,31.060286,38.371416,2.196386,10,349.14224,2025/01/31 09:10:00.002,2025/01/31 09:09:56.006,35.242228,35.971084,33.893536,37.673748,1.181224,10,354.63152,2025/01/31 09:09:55.002,2025/01/31 09:09:52.002,6.952801,6.932424,6.912013,6.978076,0.02436,10,68.349184,2025/01/31 09:09:54.002,2025/01/31 09:09:59.007
2025/01/31 09:10:10.231,n,32.287854,34.980192,32.287854,38.429612,1.785539,10,348.61436,2025/01/31 09:10:10.002,2025/01/31 09:10:06.002,38.627576,36.247828,34.123916,38.627576,1.664484,10,360.49944,2025/01/31 09:10:03.002,2025/01/31 09:10:10.002,6.961607,6.944038,6.920833,6.968193,0.015406,10,69.437208,2025/01/31 09:10:08.004,2025/01/31 09:10:01.285
2025/01/31 09:10:20.233,n,34.343612,36.233588,34.343612,40.546156,1.780671,10,361.31412,2025/01/31 09:10:20.002,2025/01/31 09:10:11.004,34.387372,35.629032,32.701976,38.705332,2.064314,10,358.41212,2025/01/31 09:10:13.002,2025/01/31 09:10:14.002,6.940666,6.930552,6.913171,6.946356,0.01315,10,69.316112,2025/01/31 09:10:18.007,2025/01/31 09:10:11.004
2025/01/31 09:10:30.237,n,31.747478,35.792288,31.747478,39.933972,2.316064,10,359.29188,2025/01/31 09:10:30.004,2025/01/31 09:10:21.006,35.542372,35.397268,32.738812,38.740648,1.494456,10,353.44344,2025/01/31 09:10:21.006,2025/01/31 09:10:24.006,6.934029,6.939443,6.923053,6.953876,0.009207,10,69.408024,2025/01/31 09:10:22.002,2025/01/31 09:10:26.002
2025/01/31 09:10:40.387,n,36.359664,35.74754,33.412456,39.208356,1.710936,10,360.85864,2025/01/31 09:10:32.002,2025/01/31 09:10:38.002,33.914256,35.845408,33.13902,41.077956,2.371754,10,365.24516,2025/01/31 09:10:36.003,2025/01/31 09:10:39.002,6.924161,6.916382,6.880127,6.960655,0.025046,10,70.268896,2025/01/31 09:10:39.002,2025/01/31 09:10:32.002
2025/01/31 09:10:50.227,n,36.85548,36.03504,33.311264,39.41322,1.874595,10,354.3918,2025/01/31 09:10:47.002,2025/01/31 09:10:43.006,33.761856,35.793628,33.761856,38.22664,1.42978,10,352.21944,2025/01/31 09:10:50.002,2025/01/31 09:10:49.005,6.893516,6.899123,6.887826,6.91643,0.010737,10,67.891408,2025/01/31 09:10:42.002,2025/01/31 09:10:41.002
2025/01/31 09:11:00.228,n,33.150188,35.436088,33.150188,39.617568,1.906933,10,356.24116,2025/01/31 09:11:00.002,2025/01/31 09:10:58.003,36.624496,35.613044,32.637192,38.361188,1.61784,10,354.68532,2025/01/31 09:10:58.003,2025/01/31 09:10:57.002,6.90544,6.907369,6.89024,6.923053,0.009916,10,69.069336,2025/01/31 09:10:55.005,2025/01/31 09:10:56.008
2025/01/31 09:11:10.232,n,35.569316,35.5687,33.522324,37.500684,1.456994,10,354.44428,2025/01/31 09:11:04.002,2025/01/31 09:11:03.002,35.617692,35.739908,31.615246,38.622116,2.023329,10,357.88872,2025/01/31 09:11:09.002,2025/01/31 09:11:01.002,6.886714,6.896973,6.876786,6.915335,0.014264,10,68.975744,2025/01/31 09:11:09.002,2025/01/31 09:11:03.002
2025/01/31 09:11:20.235,n,36.482712,35.8348,34.33644,37.597456,1.087183,10,357.9076,2025/01/31 09:11:14.005,2025/01/31 09:11:13.002,35.837964,36.274476,33.574872,39.314708,1.646558,10,362.72324,2025/01/31 09:11:19.099,2025/01/31 09:11:16.002,6.886714,6.87868,6.857002,6.89552,0.014144,10,68.794312,2025/01/31 09:11:15.009,2025/01/31 09:11:11.005
2025/01/31 09:11:30.436,n,35.271648,35.909548,33.885544,37.986372,1.44713,10,367.27552,2025/01/31 09:11:28.002,2025/01/31 09:11:21.008,35.0999,35.071044,32.307872,37.576216,1.418504,10,358.53276,2025/01/31 09:11:24.007,2025/01/31 09:11:26.003,6.873503,6.879123,6.869137,6.896614,0.009568,10,70.236736,2025/01/31 09:11:22.002,2025/01/31 09:11:23.002
2025/01/31 09:11:40.242,n,37.980116,35.63082,33.35905,38.29274,1.680638,10,347.8678,2025/01/31 09:11:34.002,2025/01/31 09:11:39.004,33.690748,35.714864,33.690748,38.138444,1.288344,10,350.70108,2025/01/31 09:11:40.010,2025/01/31 09:11:33.006,6.930939,6.893561,6.865808,6.930939,0.023939,10,67.51748,2025/01/31 09:11:34.002,2025/01/31 09:11:40.010
2025/01/31 09:11:50.229,n,36.743208,35.57002,32.665996,38.391064,2.069223,10,356.03796,2025/01/31 09:11:41.002,2025/01/31 09:11:45.003,35.07048,36.032348,31.571944,39.869764,2.421981,10,359.34924,2025/01/31 09:11:45.003,2025/01/31 09:11:46.008,6.980276,6.966357,6.927648,6.996795,0.018869,10,69.584672,2025/01/31 09:11:41.002,2025/01/31 09:11:47.002
2025/01/31 09:12:00.231,n,38.372968,35.416224,31.547104,38.372968,2.110731,10,353.61232,2025/01/31 09:11:59.002,2025/01/31 09:12:00.002,33.598856,35.475168,31.827588,38.527848,2.140619,10,355.5758,2025/01/31 09:11:55.006,2025/01/31 09:11:53.002,6.936244,6.952159,6.936244,6.99019,0.015947,10,69.543608,2025/01/31 09:12:00.002,2025/01/31 09:11:53.002
